"ant","ts","fullID","freq","freq.sd","sig","sig.sd","noise","run.id","pos.in.run","slop","burst.slop","ant.freq"
2,1697171142.412,252#407@166.38:8.9,5.543,0.00829,-72.3,8.37,-83.2,1774,15,0.0003,-0.0002,0
1,1697171142.412,252#407@166.38:8.9,3.821,0.00564,-67.4,14.7,-81.8,1763,30,0.0004,-0.0003,0
4,1697171151.3104,252#407@166.38:8.9,5.909,0.0175,-74,14.7,-82.9,1789,5,0.0004,0.0002,0
2,1697171151.3104,252#407@166.38:8.9,5.562,0.0168,-72.7,13.3,-83.2,1774,16,0.0001,0.0001,0
1,1697171151.3103,252#407@166.38:8.9,3.823,0.0152,-68.8,8.64,-81.8,1763,31,0.0003,0,0
2,1697171160.2085,252#407@166.38:8.9,5.56,0.0283,-73.8,12.9,-83.5,1774,17,0.0003,0.0001,0
1,1697171160.2083,252#407@166.38:8.9,3.815,0.0171,-70.1,13.6,-81.9,1763,32,0.0003,-0.0002,0
4,1697171160.2085,252#407@166.38:8.9,5.903,0.0141,-74.3,14.1,-83.1,1789,6,9.97e-05,-0.0001,0
1,1697171169.1065,252#407@166.38:8.9,3.82,0.00517,-71.8,52.5,-82.5,1763,33,0.0004,0,0
4,1697171169.1066,252#407@166.38:8.9,5.901,0.00713,-74.1,10.6,-82.6,1789,7,0.0003,0.0001,0
2,1697171169.1066,252#407@166.38:8.9,5.551,0.0182,-73.9,15.5,-82.9,1774,18,0.0003,-0.0001,0
4,1697171178.0047,252#407@166.38:8.9,5.897,0.0113,-74.3,8.6,-82.8,1789,8,0.0003,-0.0001,0
1,1697171178.0048,252#407@166.38:8.9,3.806,0.00552,-71.4,9.96,-81.9,1763,34,0.0001,0,0
1,1697171186.9028,252#407@166.38:8.9,3.822,0.0097,-71.5,24.1,-81.9,1763,35,0.0003,0,0
4,1697171186.9028,252#407@166.38:8.9,5.907,0.00677,-73.4,11.8,-82.8,1789,9,0.0003,-0.0001,0
1,1697171195.801,252#407@166.38:8.9,3.827,0.0139,-71.6,10.9,-81.7,1763,36,0.0004,0,0
4,1697171195.8009,252#407@166.38:8.9,5.908,0.00781,-72.9,3.89,-83.2,1789,10,0.0003,-0.0002,0
4,1697171204.699,252#407@166.38:8.9,5.902,0.0103,-72.5,12.5,-81.7,1789,11,0.0003,-0.0002,0
1,1697171204.699,252#407@166.38:8.9,3.824,0.0171,-73.6,17,-82,1763,37,0.0004,-0.0003,0
